"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"8071","OPTCUR","USDINR","OPTION","08-Dec-2023",81.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",21,1,1000,0.0025,"US Dollars","","","","",1.7375,2.5225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.13,"USDINR"
"8109","OPTCUR","USDINR","OPTION","08-Dec-2023",81.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",20,1,1000,0.0025,"US Dollars","","","","",1.4875,2.2725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.88,"USDINR"
"8168","OPTCUR","USDINR","OPTION","08-Dec-2023",81.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",56,1,1000,0.0025,"US Dollars","","","","",1.2375,2.0225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.63,"USDINR"
"8170","OPTCUR","USDINR","OPTION","08-Dec-2023",82,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",60,1,1000,0.0025,"US Dollars","","","","",0.9875,1.7725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.38,"USDINR"
"8209","OPTCUR","USDINR","OPTION","08-Dec-2023",82.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",82,1,1000,0.0025,"US Dollars","","","","",0.7375,1.5225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.13,"USDINR"
"8217","OPTCUR","USDINR","OPTION","08-Dec-2023",82.375,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.6175,1.4025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.3125,"USDINR"
"8281","OPTCUR","USDINR","OPTION","08-Dec-2023",82.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",305,1,1000,0.0025,"US Dollars","","","","",0.495,1.28,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.8875,"USDINR"
"8380","OPTCUR","USDINR","OPTION","08-Dec-2023",82.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",327,1,1000,0.0025,"US Dollars","","","","",0.36,1.145,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.7525,"USDINR"
"8386","OPTCUR","USDINR","OPTION","08-Dec-2023",82.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",799,1,1000,0.0025,"US Dollars","","","","",0.23,1.015,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.6225,"USDINR"
"8393","OPTCUR","USDINR","OPTION","08-Dec-2023",82.875,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",2898,1,1000,0.0025,"US Dollars","","","","",0.12,0.9,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.51,"USDINR"
"8396","OPTCUR","USDINR","OPTION","08-Dec-2023",83,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",14404,1,1000,0.0025,"US Dollars","","","","",0.0025,0.755,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.3725,"USDINR"
"8398","OPTCUR","USDINR","OPTION","08-Dec-2023",83.125,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",15534,1,1000,0.0025,"US Dollars","","","","",0.0025,0.6025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2475,"USDINR"
"8522","OPTCUR","USDINR","OPTION","08-Dec-2023",83.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",169215,1,1000,0.0025,"US Dollars","","","","",0.0025,0.42,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.1275,"USDINR"
"8524","OPTCUR","USDINR","OPTION","08-Dec-2023",83.375,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",300890,1,1000,0.0025,"US Dollars","","","","",0.0025,0.225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0275,"USDINR"
"8526","OPTCUR","USDINR","OPTION","08-Dec-2023",83.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",555034,1,1000,0.0025,"US Dollars","","","","",0.0025,0.1125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0075,"USDINR"
"8556","OPTCUR","USDINR","OPTION","08-Dec-2023",83.625,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",113670,1,1000,0.0025,"US Dollars","","","","",0.0025,0.045,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"USDINR"
