"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"531869","SACMET","DR","SACHETA METALS LTD",25.08,1,"531869",0,0,0,0,"SACHEMT","SACHETA METALS LTD","","","","","","","","","","",16.72,10,"INE433G01012",22.75,16.25,85.64,2.23,"","","","SACHEMT"
"540821","SADBRO","DR","SADHNA BROADCAST LIMITED",5.78,1,"540821",0,0,0,0,"SADHNA","SADHNA BROADCAST LIMITED","","","","","","","","","","",3.86,1,"INE994R01028",16.6,4.06,34.8,0.7,"","","","SADHNA"
"532710","SADENG","C","SADBHAV ENGINEERING LIMITED",24.08,1,"532710",0,0,0,0,"SADBHAV","SADBHAV ENGINEERING LIMITED","","","","","","","","","","",23.14,1,"INE226H01026",24.53,8.52,438.85,8.52,"","","","SADBHAV"
"539346","SADINF","C","SADBHAV INFRASTRUCTURE PROJECT",4.89,1,"539346",0,0,0,0,"SADBHIN","SADBHAV INFRASTRUCTURE PROJECT","","","","","","","","","","",4.71,10,"INE764L01010",7.26,2.9,157.5,2.9,"","","","SADBHIN"
"506642","SADNIT","DR","SADHANA NITROCHEM LTD",121.98,1,"506642",0,0,0,0,"SADHNANIQ","SADHANA NITROCHEM LTD","","","","","","","","","","",81.32,1,"INE888C01040",121.23,66,142.73,0.14,"","","","SADHNANIQ"
"961691","SADWAR","DR","SADBHAV ENG LTD WARANTS",0,1,"961691",0,0,0,0,"SADBHAVWAR","SADBHAV ENG LTD WARANTS","","","","","","","","","","",0,0.05,"INE226H13021",151.2,72.72,151.2,61,"","","","SADBHAVWAR"
"532034","SAFHER","C","SAFAL HERBS LIMITED",1.44,1,"532034",0,0,0,0,"SAFALHBS","SAFAL HERBS LIMITED","","","","","","","","","","",1.32,1,"INE880M01020",2.16,0.56,72.85,0.01,"","","","SAFALHBS"
"523025","SAFIND","DR","SAFARI INDUSTRIES INDIA LTD",4853.5,1,"523025",0,0,0,0,"SAFARIND","SAFARI INDUSTRIES INDIA LTD","","","","","","","","","","",3235.7,2,"INE429E01023",4599.95,1576.45,4599.95,1.74,"","","","SAFARIND"
"531448","SAFSEC","C","SAFAL SECURITIES LIMITED",0.95,1,"531448",0,0,0,0,"SAFALSEC","SAFAL SECURITIES LIMITED","","","","","","","","","","",0.87,10,"INE101L01031",1.05,0.91,83.8,0.79,"","","","SAFALSEC"
"543461","SAFSYS","DR","SAFA SYSTEMS TECHNOLOGIES LTD",14.19,1,"543461",0,0,0,0,"SSTL","SAFA SYSTEMS TECHNOLOGIES LTD","","","","","","","","","","",11.61,10,"INE0JNA01014",18.8,6.19,18.8,6.19,"","","","SSTL"
"502090","SAGCEM","DR","SAGAR CEMENTS LTD",323.55,1,"502090",0,0,0,0,"SAGCEM","SAGAR CEMENTS LTD","","","","","","","","","","",215.75,2,"INE229C01021",277.8,179.7,319,0.92,"","","","SAGCEM"
"540715","SAGDIA","DR","SAGAR DIAMONDS LIMITED",55.15,1,"540715",0,0,0,0,"SAGAR","SAGAR DIAMONDS LIMITED","","","","","","","","","","",36.77,10,"INE146Y01013",92,30,92,5.5,"","","","SAGAR"
"540143","SAGIND","DR","SAGARSOFT INDIA LIMITED",175.9,1,"540143",0,0,0,0,"SAGARSOFT","SAGARSOFT INDIA LIMITED","","","","","","","","","","",117.3,10,"INE184B01012",168.45,122.8,302,12.5,"","","","SAGARSOFT"
"51048","SAGOFS","DR","SAINT-GOBAIN SEKURIT INDIA OFS",0,1,"51048",0,0,0,0,"SAINTGOBAIN","SAINT-GOBAIN SEKURIT INDIA OFS","","","","","","","","","","",0,10,"INE000000048",0,0,0,0,"","","","SAINTGOBAIN"
"532092","SAGPRO","C","SAGAR PRODUCTIONS LIMITED",4.1,1,"532092",0,0,0,0,"SAGARPROD","SAGAR PRODUCTIONS LIMITED","","","","","","","","","","",3.72,1,"INE807D01030",4.52,1.83,27.5,0.02,"","","","SAGARPROD"
"512050","SAGSIL","DR","SAGAR SILK",52.5,1,"512050",0,0,0,0,"","SAGAR SILK","","","","","","","","","","",47.5,10,"",0,0,104,6.25,"","","",""
"507663","SAGSOY","C","SAGAR SOYA PRODUCTS LTD",1.08,1,"507663",0,0,0,0,"SAGRSOY-B","SAGAR SOYA PRODUCTS LTD","","","","","","","","","","",0.98,10,"INE131O01024",1.03,0.91,104.94,0.61,"","","","SAGRSOY-B"
"526085","SAGTOU","C","SAGAR TOURIST RESORTS LTD",24.15,1,"526085",0,0,0,0,"","SAGAR TOURIST RESORTS LTD","","","","","","","","","","",21.85,10,"",31.05,16,31.05,0.5,"","","",""
"539660","SAHCRE","DR","BEST AGROLIFE LIMITED",1077.7,1,"539660",0,0,0,0,"BESTAGRO","BEST AGROLIFE LIMITED","","","","","","","","","","",718.5,10,"INE052T01013",1718.95,867,1774.45,2.5,"","","","BESTAGRO"
"511533","SAHHOU","C","SAHARA HOUSINGFINA CORP LTD",48.48,1,"511533",0,0,0,0,"SAHARAHOUS","SAHARA HOUSINGFINA CORP LTD","","","","","","","","","","",46.58,10,"INE135C01012",126.05,40.06,1445.35,2.05,"","","","SAHARAHOUS"
"503691","SAHIND","C","SAHARA ONE MEDIA AND ENTERTAIN",16.43,1,"503691",0,0,0,0,"SAHARA","SAHARA ONE MEDIA AND ENTERTAIN","","","","","","","","","","",14.87,10,"INE479B01016",33.7,15.65,820,5.5,"","","","SAHARA"
"511169","SAHLEA","C","RKD AGRI AND RETAIL LTD",7.29,1,"511169",0,0,0,0,"RKDAGRRTL","RKD AGRI AND RETAIL LTD","","","","","","","","","","",6.93,1,"INE552N01023",7.29,3.93,27.5,1.25,"","","","RKDAGRRTL"
"51107","SAHOFS","DR","BRAND REALTY SERVICES OFS",38.1,1,"51107",0,0,0,0,"BRANDREAL","BRAND REALTY SERVICES OFS","","","","","","","","","","",25.4,10,"INE000000107",0,0,0,0,"","","","BRANDREAL"
"505817","SAHPAR","C","REIL ELECTRICALS INDIA LIMITED",241.5,1,"505817",0,0,0,0,"","REIL ELECTRICALS INDIA LIMITED","","","","","","","","","","",218.5,10,"",249.9,208,387.45,20,"","","",""
"543743","SAHPOL","DR","SAH POLYMERS LIMITED",140.2,1,"543743",0,0,0,0,"SAH","SAH POLYMERS LIMITED","","","","","","","","","","",93.5,10,"INE035801013",120.7,58.96,120.7,58.96,"","","","SAH"
"532841","SAHYIN","DR","SAHYADRI INDUSTRIES LIMITED",499.9,1,"532841",0,0,0,0,"SAHYADRI","SAHYADRI INDUSTRIES LIMITED","","","","","","","","","","",333.3,10,"INE280H01015",484,289,885,19.85,"","","","SAHYADRI"
"538557","SAIBAB","C","SAI BABA INVESTMENT COMM ENT",1.47,1,"538557",0,0,0,0,"SAIBABA","SAI BABA INVESTMENT COMM ENT","","","","","","","","","","",1.33,10,"INE706P01038",3.15,1.19,576,1.12,"","","","SAIBABA"
"531931","SAICAP","C","SAI CAPITAL LTD",141.75,1,"531931",0,0,0,0,"SAICAPI","SAI CAPITAL LTD","","","","","","","","","","",128.25,10,"INE531X01018",168,95,237,9.5,"","","","SAICAPI"
"530265","SAIFIN","DR","SAINIK FINANCE AND INDUSTRIES",35.17,1,"530265",0,0,0,0,"SAINIK","SAINIK FINANCE AND INDUSTRIES","","","","","","","","","","",28.79,10,"INE584B01013",36.74,20.6,52.4,1.5,"","","","SAINIK"
"515043","SAIGOB","DR","SAINT-GOBAIN SEKURIT INDIA LTD",146.7,1,"515043",0,0,0,0,"SAINTGOBAIN","SAINT-GOBAIN SEKURIT INDIA LTD","","","","","","","","","","",97.8,10,"INE068B01017",132,77,132,1.14,"","","","SAINTGOBAIN"
"530905","SAIIND","C","SAI INDUSTRIES LTD",52.5,1,"530905",0,0,0,0,"","SAI INDUSTRIES LTD","","","","","","","","","","",47.5,10,"",0,0,50,12.25,"","","",""
"500113","SAIL","DR","STEEL AUTHORITY OF INDIA LTD",108.76,1,"500113",0,0,0,0,"SAIL","STEEL AUTHORITY OF INDIA LTD","","","","","","","","","","",89,10,"INE114A01011",103.59,73.8,292.5,3.95,"","","","SAIL"
"540066","SAIMOH","C","AMS POLYMERS LIMITED",25.77,1,"540066",0,0,0,0,"AMS","AMS POLYMERS LIMITED","","","","","","","","","","",23.33,10,"INE345U01019",24.55,22.3,24.55,12.5,"","","","AMS"
"51022","SAIOFS","DR","STEEL AUTHORITY OF INDIA OFS",0,1,"51022",0,0,0,0,"SAIL","STEEL AUTHORITY OF INDIA OFS","","","","","","","","","","",0,10,"INE000000022",0,0,0,0,"","","","SAIL"
"526681","SAISER","DR","SAI SERVICES STATION LTD",0,1,"526681",0,0,0,0,"","SAI SERVICES STATION LTD","","","","","","","","","","",0,10,"INE622A01013",313.9,138.25,379.8,10.35,"","","",""
"543989","SAISIK","DR","SAI SILKS KALAMANDIR LTD",348.3,1,"543989",0,0,0,0,"KALAMANDIR","SAI SILKS KALAMANDIR LTD","","","","","","","","","","",232.2,2,"INE438K01021",311.4,220.05,311.4,220.05,"","","","KALAMANDIR"
"543541","SAITOU","DR","SAILANI TOURS N TRAVELS LTD",32.4,1,"543541",0,0,0,0,"SAILANI","SAILANI TOURS N TRAVELS LTD","","","","","","","","","","",21.6,10,"INE0KHQ01010",39,16.46,68.6,15.4,"","","","SAILANI"
"521107","SAJTEX","DR","SAJJAN TEXTILES MILL",0.52,1,"521107",0,0,0,0,"","SAJJAN TEXTILES MILL","","","","","","","","","","",0.48,10,"",0,0,40,0.3,"","","",""
"532713","SAKEXP","C","SAKUMA EXPORTS LTD",16.04,1,"532713",0,0,0,0,"SAKUMA","SAKUMA EXPORTS LTD","","","","","","","","","","",14.52,1,"INE190H01024",22.1,9.47,42.95,0.51,"","","","SAKUMA"
"511066","SAKFIN","DR","SAKTHI FINANCE LTD",54.39,1,"511066",0,0,0,0,"SAKTHIFIN","SAKTHI FINANCE LTD","","","","","","","","","","",36.27,10,"INE302E01014",51.5,25.22,51.5,0.67,"","","","SAKTHIFIN"
"937591","SAKN10","DR","10% Sakthi Finance Ltd. Aug 25",1212,1,"937591",0,0,0,0,"10SFL25","10% Sakthi Finance Ltd. Aug 25","","","","","","","","","","",808,1000,"INE302E07375",1000,811.2,1080,811.2,"","","","10SFL25"
"937593","SAKN11","DR","0% Sakthi Finance Ltd. Aug 25",1212,1,"937593",0,0,0,0,"ZCSFL25","0% Sakthi Finance Ltd. Aug 25","","","","","","","","","","",808,1000,"INE302E07383",0,0,1010,1010,"","","","ZCSFL25"
"937595","SAKN12","DR","10.5% Sakthi Finance Aug 26",1194,1,"937595",0,0,0,0,"1050SFL26","10.5% Sakthi Finance Aug 26","","","","","","","","","","",796,1000,"INE302E08084",1020,915.11,1020,813,"","","","1050SFL26"
"937597","SAKN13","DR","0% Sakthi Finance Ltd. Aug 26",1392,1,"937597",0,0,0,0,"ZCSFL26","0% Sakthi Finance Ltd. Aug 26","","","","","","","","","","",928,1000,"INE302E08092",1180.5,922.4,1180.5,826.25,"","","","ZCSFL26"
"936682","SAKN15","DR","SAKTHI FIN NCD 15MY2 FVRS1000",1548,1,"936682",0,0,0,0,"0SFL22","SAKTHI FIN NCD 15MY2 FVRS1000","","","","","","","","","","",1032,1000,"INE302E07219",1290,835.2,1290,835.2,"","","","0SFL22"
"936686","SAKN16","DR","10% Sakthi Finance Ltd May 23",1229.97,1,"936686",0,0,0,0,"10SFL23A","10% Sakthi Finance Ltd May 23","","","","","","","","","","",819.99,1000,"INE302E07235",1055,801.2,1055,801.2,"","","","10SFL23A"
"936694","SAKN17","DR","0% Sakthi Finance Ltd. Jun 24",1770,1,"936694",0,0,0,0,"0SFL24","0% Sakthi Finance Ltd. Jun 24","","","","","","","","","","",1180,1000,"INE302E08043",1494.3,1159.7,1494.3,295,"","","","0SFL24"
"937191","SAKN18","DR","0% Sakthi Finance Ltd. Jul 25",1641.62,1,"937191",0,0,0,0,"SFL8MAY20C","0% Sakthi Finance Ltd. Jul 25","","","","","","","","","","",1094.42,1000,"INE302E08076",1368.02,910,1368.02,910,"","","","SFL8MAY20C"
"935395","SAKN19","DR","SAKTHI FINANCE LIMITED SR VI",0,1,"935395",0,0,0,0,"115SFL19F","SAKTHI FINANCE LIMITED SR VI","","","","","","","","","","",0,1000,"INE302E07060",0,0,100,100,"","","","115SFL19F"
"937973","SAKN20","DR","8.5% Sakthi Finance Ltd Apr 24",1200,1,"937973",0,0,0,0,"85SFL24","8.5% Sakthi Finance Ltd Apr 24","","","","","","","","","","",800,1000,"INE302E07409",0,0,0,0,"","","","85SFL24"
"937975","SAKN21","DR","0% Sakthi Finance Ltd. Apr 24",1200,1,"937975",0,0,0,0,"SFL290422","0% Sakthi Finance Ltd. Apr 24","","","","","","","","","","",800,1000,"INE302E07417",0,0,0,0,"","","","SFL290422"
"937977","SAKN22","DR","8.75% Sakthi Finance Apr 25",1002.24,1,"937977",0,0,0,0,"875SFL25","8.75% Sakthi Finance Apr 25","","","","","","","","","","",668.16,1000,"INE302E07425",1188.4,835.2,1188.4,835.2,"","","","875SFL25"
"937979","SAKN23","DR","0% Sakthi Finance Ltd. Apr 25",1212,1,"937979",0,0,0,0,"SFL290422A","0% Sakthi Finance Ltd. Apr 25","","","","","","","","","","",808,1000,"INE302E07433",1010,950.4,1010,811.5,"","","","SFL290422A"
"937981","SAKN24","DR","9% Sakthi Finance Ltd Apr 26",1054.8,1,"937981",0,0,0,0,"9SFL26","9% Sakthi Finance Ltd Apr 26","","","","","","","","","","",703.2,1000,"INE302E07441",0,0,1182.8,879,"","","","9SFL26"
"937983","SAKN25","DR","0% Sakthi Finance Ltd. Apr 26",1230,1,"937983",0,0,0,0,"SFL290422B","0% Sakthi Finance Ltd. Apr 26","","","","","","","","","","",820,1000,"INE302E07458",0,0,1025,1000,"","","","SFL290422B"
